LCCN	LCSH	Identifier	Name
sh85003030	Ajie language	aji	Ajië
sh85003039	Aka language (Central African Republic)	axk	Yaka (Central African Republic)
sh85003047	Akan language	aka	Akan
sh94006010	Akatek language	knj	Western Kanjobal
sh00007475	Akei language	tsr	Akei
sh85003062	Akhwakh language	akv	Akhvakh
sh93002855	Akit language	kvr	Kerinci
sh85003069	Akka language	che	Chechen
sh85003070	Akkadian language	akk	Akkadian
sh98000082	Aklanon language	akl	Aklanon
sh85003104	Alabama language	akz	Alabama
sh85003114	Alacaluf language	alc	Qawasqar
sh85003116	Aladian language	ald	Alladian
sh85003127	Alamblak language	amp	Alamblak
sh85003134	Alangan language	alj	Alangan
sh87003999	Alas language	btz	Batak Alas-Kluet
sh85003174	Alawa language	alh	Alawa
sh85003198	Albanian language	sqi	Albanian
sh85003358	Aleut language	ale	Aleut
sh85003481	Algonquin language	alq	Algonquin
sh85003855	Alsea language	aes	Alsea
sh90000035	Alu-Kurumba language	xua	Alu Kurumba
sh93007234	Alune language	alp	Alune
sh85004053	Alur language	alz	Alur
sh99005940	Alutor language	alr	Alutor
sh85004076	Alyawarra language	aly	Alyawarr
sh85004085	Ama language (Papua New Guinea)	amm	Ama (Papua New Guinea)
sh85004090	Amahuaca language	amc	Amahuaca
sh94004160	Amanab language	amn	Amanab
sh00005327	Amarag language	amg	Amarag
sh94007785	Ambai language	amk	Ambai
sh85004163	Ambo language (Zambia)	leb	Lala-Bisa
sh92001354	Ambonese Malay language	abs	Ambonese Malay
sh88001431	Amdo language	adx	Amdo Tibetan
sh85004206	Amele language	aey	Amele
sh91002945	American Sign Language	ase	American Sign Language
sh91000533	Amganad Ifugao language	ifa	Amganad Ifugao
sh85004449	Amharic language	amh	Amharic
sh85004474	Amikwa language	ciw	Chippewa
sh85004457	Amis language	ami	Amis
sh96004459	Ammassalimiut language	kal	Kalaallisut
sh85004588	Ampale language	apz	Safeyoka
sh85078404	Amuesha language	ame	Yanesha&apos;
sh96004176	Anakalang language	akg	Anakalangu
sh85004761	Anal language	anm	Anal
sh88000622	Andilyaugwa language	aoi	Anindilyakwa
sh85004907	Andoque language	ano	Andoque
sh85004937	Aneityum language	aty	Aneityum
sh85004939	Anem language	anz	Anem
sh91003699	Aneme Wake language	aby	Aneme Wake
sh85004982	Anesu language	ane	Xârâcùù
sh85004989	Angal Heneng language	akh	Angal Heneng
sh85004990	Angami language	njm	Angami Naga
sh85004995	Angas language	anc	Ngas
sh85005015	Anggor language	agg	Angor
sh85005018	Angika language	anp	Angika
sh96001509	Angkola language	akb	Batak Angkola
sh85005079	Anglo-Norman language	xno	Anglo-Norman
sh93006297	Ankave language	aak	Ankave
sh2001004534	Anmatyerre language	amx	Anmatyerre
sh85005358	Annobon language	fab	Fa D&apos;ambu
