# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
bwd	sn	Bwaidoga
bwd	sn	Bwaidoga language
bww	sn	Bwamu
bww	sn	Bwamu language
bwa	sn	Bwatoo
bwa	sn	Bwatoo language
bee	sn	Byangsi
bee	sn	Byangsi language
cjp	sn	Cabecar
cjp	sn	Cabecar language
cbv	sn	Cacua
cbv	sn	Cacua language
cad	sn	Caddo
cad	sn	Caddo language
cdd	sn	Caddoan languages
kbc	sn	Caduveo
kbc	sn	Caduveo language
chl	sn	Cahuilla
chl	sn	Cahuilla language
kgk	sn	Caingua
kgk	sn	Caingua language
frc	sn	Cajun French
frc	sn	Cajun French dialect
hrv	sn	C?akavian
hrv	sn	C?akavian dialect
cak	sn	Cakchikel
cak	sn	Cakchikel language
caw	sn	Callahuaya
caw	sn	Callahuaya language
rmr	sn	Calo?
rmr	sn	Calo? (Romani)
rmr	sn	Calo? dialect (Romani)
clu	sn	Caluyanun
clu	sn	Caluyanun language
aoc	sn	Camaracoto
aoc	sn	Camaracoto dialect
cni	sn	Campa
cni	sn	Campa language
kbh	sn	Camsa
